scenario,repeat,alpha,n,true_shift_tv,estimate_error_tv,em_iters,em_converged,accuracy,weighted_f1,macro_f1,caveat
graded,4,0.25,4000,43.9,6.68,48,True,84.8,84.33,70.52,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,4,0.5,4000,43.9,6.68,48,True,85.38,84.94,70.64,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,4,0.75,4000,43.9,6.68,48,True,85.88,85.36,71.15,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,4,1.0,4000,43.9,6.68,48,True,86.02,85.55,71.47,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,5,0.0,4000,43.09,7.54,61,True,83.33,82.52,66.09,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,5,0.25,4000,43.09,7.54,61,True,84.35,83.56,67.5,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,5,0.5,4000,43.09,7.54,61,True,84.82,83.88,68.04,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,5,0.75,4000,43.09,7.54,61,True,85.62,84.77,69.7,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,5,1.0,4000,43.09,7.54,61,True,85.88,84.86,69.97,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,6,0.0,4000,43.4,7.34,62,True,84.2,83.31,68.73,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,6,0.25,4000,43.4,7.34,62,True,85.05,84.25,71.62,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,6,0.5,4000,43.4,7.34,62,True,85.55,84.79,72.2,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,6,0.75,4000,43.4,7.34,62,True,86.12,85.37,72.29,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,6,1.0,4000,43.4,7.34,62,True,86.12,85.24,71.15,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,7,0.0,4000,43.35,7.33,55,True,84.03,83.16,66.34,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,7,0.25,4000,43.35,7.33,55,True,84.7,83.91,67.47,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,7,0.5,4000,43.35,7.33,55,True,85.5,84.8,68.05,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,7,0.75,4000,43.35,7.33,55,True,85.97,85.26,68.41,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
graded,7,1.0,4000,43.35,7.33,55,True,86.48,85.81,69.74,duplicates rare rows - the split holds 2 Lipstick rows against a ~5% demand
