query_id,articleType,P@1,R@1,AP@1,nDCG@1,P@5,R@5,AP@5,nDCG@5,P@10,R@10,AP@10,nDCG@10
1790,Backpacks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5586,Skirts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005295432379500644
50873,Sarees,0.0,0.0,0.0,0.01915224298978878,0.6,0.02158273381294964,0.2866666666666666,0.2960028250337468,0.6,0.04316546762589928,0.3414285714285714,0.29739635298405087
43744,Bangle,0.0,0.0,0.0,0.04016145559930565,0.0,0.0,0.0,0.03429513805263395,0.0,0.0,0.0,0.03635461691234713
20307,Sweaters,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.06472874127011223,0.1,0.004016064257028112,0.014285714285714285,0.12128205798514619
39329,Shorts,0.0,0.0,0.0,0.04623760747755864,0.0,0.0,0.0,0.057978556820278054,0.1,0.002109704641350211,0.0125,0.08606952618429393
34946,Dupatta,1.0,0.009523809523809525,1.0,1.0,0.8,0.0380952380952381,0.71,0.7526084004011777,0.5,0.047619047619047616,0.4175,0.618708916290409
17620,Leggings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02608388536036066,0.0,0.0,0.0,0.02350187591412672
35116,Necklace and Chains,0.0,0.0,0.0,0.01915224298978878,0.2,0.017857142857142856,0.1,0.11709995196118761,0.1,0.017857142857142856,0.05,0.10132131335850052
25902,Leggings,1.0,0.006944444444444444,1.0,0.47688119626122066,0.8,0.027777777777777776,0.76,0.41002148338163336,0.7,0.04861111111111111,0.5964285714285714,0.4343661362323903
13914,Sandals,0.0,0.0,0.0,0.08454209345713619,0.2,0.0012836970474967907,0.1,0.28043751139993384,0.2,0.0025673940949935813,0.08333333333333333,0.2788950335986377
50573,Trunk,0.0,0.0,0.0,0.01915224298978878,0.2,0.007936507936507936,0.06666666666666667,0.09677396586539692,0.3,0.023809523809523808,0.09940476190476191,0.1703253993182132
23139,Sweatshirts,0.0,0.0,0.0,0.01915224298978878,0.0,0.0,0.0,0.04044674033631277,0.1,0.003968253968253968,0.0125,0.08060184754939605
20784,Flats,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.06785466847342701,0.0,0.0,0.0,0.048476212635695605
37266,Dresses,1.0,0.003215434083601286,1.0,1.0,0.4,0.006430868167202572,0.27999999999999997,0.38162646738516437,0.3,0.00964630225080386,0.19,0.35875902148917366
50859,Sarees,0.0,0.0,0.0,0.01915224298978878,0.2,0.007194244604316547,0.05,0.1000044857224331,0.2,0.014388489208633094,0.05357142857142857,0.12270279785986289
40753,Flip Flops,0.0,0.0,0.0,0.08454209345713619,0.0,0.0,0.0,0.04118787565404924,0.2,0.002574002574002574,0.04523809523809523,0.11990537520035051
27007,Jeggings,0.0,0.0,0.0,0.08454209345713619,0.2,0.043478260869565216,0.06666666666666667,0.11615406444340855,0.1,0.043478260869565216,0.03333333333333333,0.09461160943294569
19530,Sweaters,0.0,0.0,0.0,0.01915224298978878,0.2,0.004016064257028112,0.06666666666666667,0.09426109433938648,0.3,0.012048192771084338,0.09523809523809523,0.12031891631226782
15387,Flip Flops,1.0,0.001287001287001287,1.0,0.47688119626122066,0.8,0.005148005148005148,0.76,0.5617696054983632,0.5,0.006435006435006435,0.4425,0.40395942828207654
